판매일,작품 ID,분류,작품명,작가명,레이블,회차 판매가 (원),총 사용 건수 (건),초기 무료 회차,에다무,광고보면 무료,신규 혜택 대여,유상 대여,소장,총 판매 건수 (건),광고보면 무료 판매금액 (원),광고보면 무료 운영 수수료 (원),소장 판매금액 (원),소장 운영 수수료 (원),대여 판매금액 (원),대여 운영 수수료 (원),판매 금액 합계 (원),운영 수수료 합계 (원),정산 금액 합계 (원)
2026.2.4,1654,웹소설,파랑이 흐른다 (개정판),별보라,플로린,100,11,3,0,0,0,0,8,8,0,0,800,240,0,0,800,240,560
2026.2.4,2423,웹소설,베드 파트너,이로이,사막여우,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,2511,웹소설,내가 M이라니,죄송한취향,시계토끼,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,2543,웹소설,어린 짐승,마뇽,시계토끼,200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,2557,웹소설,천년애사(蛇),김연서,시계토끼,100,3,2,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026.2.4,2588,웹소설,결혼 후 연애 시작,서희수,하트퀸,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,2591,웹소설,계약 파트너,DANA(다나),하트퀸,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,2596,웹소설,나랑 해요,은예진,하트퀸,100,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,2608,웹소설,내 손으로 도와줄게,라쉬,하트퀸,100,18,2,0,0,0,0,16,16,0,0,1600,480,0,0,1600,480,1120
2026.2.4,2613,웹소설,달이 밝은 밤이면 [19세 개정판],핑크아몬드,하트퀸,100,6,5,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026.2.4,2620,웹소설,맛보게 해줘,무하,하트퀸,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,2623,웹소설,먼저 결혼부터,연우,하트퀸,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,2643,웹소설,에피소드,유이세스,하트퀸,100,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,3184,웹소설,몰락,최강토끼,사막여우,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,3189,웹소설,죽었던 남편이 계략남으로 돌아왔다,하이엘라,사막여우,100,1,0,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026.2.4,4801,웹소설,모노크롬 루머,치율,M블루,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,4832,웹소설,제라스의 여관,사이딘,마야마루출판사,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,5252,웹소설,씨 서방,점빵,달밤,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,6196,웹소설,흔적도 없이,짙은,사막여우,100,14,2,0,0,0,0,12,12,0,0,1200,360,0,0,1200,360,840
2026.2.4,13489,웹소설,이중 이혼 합의서(19세),김민,하트퀸,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,16792,웹소설,저주 짝꿍을 찾습니다,무가연,페리윙클,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,18997,웹소설,독 안에 든 선생님,그일도,플로린,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,19390,웹소설,[BL] 가면극,사유담,희우,100,2,0,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026.2.4,19744,웹소설,너에게 파는 나의 밤 (삽화본),핑캐,해피북스투유,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,20580,웹소설,힘을 숨겨도 공녀가 제일 강함,설윤영,앨리스,100,2,0,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026.2.5,1419,웹소설,끝정,벚꽃그리고,플로린,100,16,11,0,0,0,0,5,5,0,0,500,150,0,0,500,150,350
2026.2.5,1439,웹소설,내가 버린 남편,리나리아L,래이니북스,100,10,3,0,0,0,0,7,7,0,0,700,210,0,0,700,210,490
2026.2.5,1541,웹소설,만져도 돼?,차가울(미캉),플로린,100,1,0,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026.2.5,2423,웹소설,베드 파트너,이로이,사막여우,100,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.5,2511,웹소설,내가 M이라니,죄송한취향,시계토끼,100,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.5,2513,웹소설,네 마리 포식자들,하얀백지,시계토끼,100,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.5,2613,웹소설,달이 밝은 밤이면 [19세 개정판],핑크아몬드,하트퀸,100,52,0,0,0,0,0,52,52,0,0,5200,1560,0,0,5200,1560,3640
2026.2.5,2627,웹소설,미친놈에게 물리면,해세,하트퀸,100,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.5,2633,웹소설,불순한 비서계약 [19세 개정판],삼색냥,하트퀸,100,10,5,0,0,0,0,5,5,0,0,500,150,0,0,500,150,350
2026.2.5,2643,웹소설,에피소드,유이세스,하트퀸,100,65,56,0,0,0,0,9,9,0,0,900,270,0,0,900,270,630
2026.2.5,2646,웹소설,열을 내리는 방법,윤해조,하트퀸,100,10,3,0,0,0,0,7,7,0,0,700,210,0,0,700,210,490
2026.2.5,2665,웹소설,이토록 괴로운 밤들,라쉬,하트퀸,100,11,1,0,0,0,0,10,10,0,0,1000,300,0,0,1000,300,700
2026.2.5,2673,웹소설,짓밟힐수록,라쉬,스토린랩,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.5,3180,웹소설,온전하지 못한 관계,하루가 너무 길다,사막여우,100,38,3,0,0,0,0,35,35,0,0,3500,1050,0,0,3500,1050,2450
2026.2.5,3189,웹소설,죽었던 남편이 계략남으로 돌아왔다,하이엘라,사막여우,100,4,0,0,0,0,0,4,4,0,0,400,120,0,0,400,120,280
2026.2.5,3554,웹소설,후회해도,짙은,사막여우,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.5,4763,웹소설,오토 리버스(Auto Reverse),박허시,M블루,100,32,0,0,0,0,0,32,32,0,0,3200,960,0,0,3200,960,2240
2026.2.5,4801,웹소설,모노크롬 루머,치율,M블루,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.5,6196,웹소설,흔적도 없이,짙은,사막여우,100,13,2,0,0,0,0,11,11,0,0,1100,330,0,0,1100,330,770
2026.2.5,19390,웹소설,[BL] 가면극,사유담,희우,100,2,0,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026.2.5,20580,웹소설,힘을 숨겨도 공녀가 제일 강함,설윤영,앨리스,100,2,0,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026.2.6,1419,웹소설,끝정,벚꽃그리고,플로린,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.6,1439,웹소설,내가 버린 남편,리나리아L,래이니북스,100,84,0,0,0,0,0,84,84,0,0,8400,2520,0,0,8400,2520,5880
2026.2.6,1541,웹소설,만져도 돼?,차가울(미캉),플로린,100,7,1,0,0,0,0,6,6,0,0,600,180,0,0,600,180,420
2026.2.6,2511,웹소설,내가 M이라니,죄송한취향,시계토끼,100,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.6,2533,웹소설,사제님의 비밀스런 교육(Dark),김연서,시계토끼,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.6,2643,웹소설,에피소드,유이세스,하트퀸,100,25,23,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026.2.6,2673,웹소설,짓밟힐수록,라쉬,스토린랩,100,23,0,0,0,0,0,23,23,0,0,2300,690,0,0,2300,690,1610
2026.2.6,2744,웹소설,클리닉 원장에게 사기당한 것 같습니다,김연산,,100,9,5,0,0,0,0,4,4,0,0,400,120,0,0,400,120,280
2026.2.6,3180,웹소설,온전하지 못한 관계,하루가 너무 길다,사막여우,100,43,0,0,0,0,0,43,43,0,0,4300,1290,0,0,4300,1290,3010
2026.2.6,3181,웹소설,뜨겁게 박히다,느린돌,사막여우,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.6,3189,웹소설,죽었던 남편이 계략남으로 돌아왔다,하이엘라,사막여우,100,2,0,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026.2.6,4763,웹소설,오토 리버스(Auto Reverse),박허시,M블루,100,9,0,0,0,0,0,9,9,0,0,900,270,0,0,900,270,630
2026.2.6,4801,웹소설,모노크롬 루머,치율,M블루,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.6,6196,웹소설,흔적도 없이,짙은,사막여우,100,10,0,0,0,0,0,10,10,0,0,1000,300,0,0,1000,300,700
2026.2.6,6599,웹소설,크고 잘생긴 오빠 친구,채하정,달밤,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.6,12084,웹소설,메디시스가의 오메가,코네꼬,야간비행,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.6,14216,웹소설,못된 오빠,평온한,사막여우,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.6,18997,웹소설,독 안에 든 선생님,그일도,플로린,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.6,19390,웹소설,[BL] 가면극,사유담,희우,100,3,0,0,0,0,0,3,3,0,0,300,90,0,0,300,90,210
2026.2.6,20580,웹소설,힘을 숨겨도 공녀가 제일 강함,설윤영,앨리스,100,2,0,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026.2.7,1419,웹소설,끝정,벚꽃그리고,플로린,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.7,1439,웹소설,내가 버린 남편,리나리아L,래이니북스,100,2,0,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026.2.7,1549,웹소설,물드는 밤,상림(메리J),플로린,100,62,4,0,0,0,0,58,58,0,0,5800,1740,0,0,5800,1740,4060
2026.2.7,2423,웹소설,베드 파트너,이로이,사막여우,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.7,2506,웹소설,"교육입니다, 아가씨",초코요정,시계토끼,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.7,2511,웹소설,내가 M이라니,죄송한취향,시계토끼,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.7,2603,웹소설,나쁜 하룻밤 [19세 개정판],셔틀,하트퀸,100,6,0,0,0,0,0,6,6,0,0,600,180,0,0,600,180,420
2026.2.7,2643,웹소설,에피소드,유이세스,하트퀸,100,18,16,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026.2.7,3006,웹소설,에피소드 [1부-2부],유이세스,하트퀸,4000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.7,3189,웹소설,죽었던 남편이 계략남으로 돌아왔다,하이엘라,사막여우,100,1,0,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026.2.7,4732,웹소설,나만 좀 늦게 돌아왔다,호안,마야마루출판사,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.7,6196,웹소설,흔적도 없이,짙은,사막여우,100,6,0,0,0,0,0,6,6,0,0,600,180,0,0,600,180,420
2026.2.7,14216,웹소설,못된 오빠,평온한,사막여우,100,5,3,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026.2.7,19390,웹소설,[BL] 가면극,사유담,희우,100,3,0,0,0,0,0,3,3,0,0,300,90,0,0,300,90,210
2026.2.7,20580,웹소설,힘을 숨겨도 공녀가 제일 강함,설윤영,앨리스,100,1,0,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026.2.8,1419,웹소설,끝정,벚꽃그리고,플로린,100,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.8,1439,웹소설,내가 버린 남편,리나리아L,래이니북스,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.8,1541,웹소설,만져도 돼?,차가울(미캉),플로린,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.8,1545,웹소설,"먹어봐요, 김대리",오대리,플로린,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.8,1549,웹소설,물드는 밤,상림(메리J),플로린,100,29,0,0,0,0,0,29,29,0,0,2900,870,0,0,2900,870,2030
2026.2.8,1638,웹소설,잠식,피숙혜,플로린,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.8,1656,웹소설,폭설,비설,플로린,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.8,1662,웹소설,합의 관계,은서정,플로린,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.8,2423,웹소설,베드 파트너,이로이,사막여우,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.8,2511,웹소설,내가 M이라니,죄송한취향,시계토끼,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.8,2513,웹소설,네 마리 포식자들,하얀백지,시계토끼,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.8,2534,웹소설,색을 먹는 괴물,리자은,시계토끼,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.8,2600,웹소설,나쁜 전남편 [19금 개정판],모리미,하트퀸,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.8,2607,웹소설,내 비서의 주인 [19세 개정판],김민,하트퀸,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.8,2639,웹소설,삼시색기,달그림 ,하트퀸,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.8,2643,웹소설,에피소드,유이세스,하트퀸,100,33,32,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026.2.8,2663,웹소설,이기적인 결혼,핑크아몬드,하트퀸,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.8,2671,웹소설,좋다고 말해,채하정,하트퀸,100,3,1,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026.2.8,2672,웹소설,짐승의 심연,비향,하트퀸,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.8,2746,웹소설,이혼 후 愛,빨간호박,,100,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.8,3181,웹소설,뜨겁게 박히다,느린돌,사막여우,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.8,3189,웹소설,죽었던 남편이 계략남으로 돌아왔다,하이엘라,사막여우,100,2,0,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026.2.8,3556,웹소설,이혼은 없어,이로이,사막여우,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.8,3557,웹소설,우아한 개자식,봄그린,사막여우,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.8,4801,웹소설,모노크롬 루머,치율,M블루,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.8,6196,웹소설,흔적도 없이,짙은,사막여우,100,12,0,0,0,0,0,12,12,0,0,1200,360,0,0,1200,360,840
2026.2.8,14216,웹소설,못된 오빠,평온한,사막여우,100,2,0,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026.2.8,19390,웹소설,[BL] 가면극,사유담,희우,100,4,0,0,0,0,0,4,4,0,0,400,120,0,0,400,120,280
2026.2.8,19428,웹소설,악마의 딸은 신의 아들을 사랑한다,으넹나무,페리윙클,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.8,20580,웹소설,힘을 숨겨도 공녀가 제일 강함,설윤영,앨리스,100,1,0,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026.2.9,1419,웹소설,끝정,벚꽃그리고,플로린,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.9,1541,웹소설,만져도 돼?,차가울(미캉),플로린,100,12,3,0,0,0,0,9,9,0,0,900,270,0,0,900,270,630
2026.2.9,2423,웹소설,베드 파트너,이로이,사막여우,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.9,2643,웹소설,에피소드,유이세스,하트퀸,100,58,56,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026.2.9,3181,웹소설,뜨겁게 박히다,느린돌,사막여우,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.9,3189,웹소설,죽었던 남편이 계략남으로 돌아왔다,하이엘라,사막여우,100,1,0,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026.2.9,4801,웹소설,모노크롬 루머,치율,M블루,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.9,14216,웹소설,못된 오빠,평온한,사막여우,100,4,3,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026.2.9,17147,웹소설,칼레이 백작가의 매맞이 하녀,뮤사203,시계토끼,100,14,0,0,0,0,0,14,14,0,0,1400,420,0,0,1400,420,980
2026.2.9,19390,웹소설,[BL] 가면극,사유담,희우,100,3,0,0,0,0,0,3,3,0,0,300,90,0,0,300,90,210
2026.2.9,20580,웹소설,힘을 숨겨도 공녀가 제일 강함,설윤영,앨리스,100,2,0,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026.2.10,1419,웹소설,끝정,벚꽃그리고,플로린,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.10,1545,웹소설,"먹어봐요, 김대리",오대리,플로린,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.10,2228,웹소설,술김에 황후가 되었습니다,거주자,사막여우,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.10,2423,웹소설,베드 파트너,이로이,사막여우,100,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.10,2511,웹소설,내가 M이라니,죄송한취향,시계토끼,100,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.10,2643,웹소설,에피소드,유이세스,하트퀸,100,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.10,2658,웹소설,위험한 오빠 친구,타라,하트퀸,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.10,3181,웹소설,뜨겁게 박히다,느린돌,사막여우,100,6,5,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
