출판사명,레이블명,분야,출처,비고
빅토리북스,캐롯앤스틱,장르소설,기존(0615),
뿔미디어,B&M,,본부장확인(0721),
뿔미디어,b&m,,본부장확인(0721),
뿔미디어,다향,,본부장확인(0721),
뿔미디어,뿔미디어,장르소설,기존(0615),
뿔미디어,스칼렛,,본부장확인(0721),
뿔미디어,엉뚱한앙마,,데이터확정(작품매칭),작가명/변형 → 원작품 출판사
뿔미디어,필,,본부장확인(0721),
사슴의풀밭,라이즈,,본부장확인(0721),
사슴의풀밭,로튼로즈,,본부장확인(0721),
사슴의풀밭,블로우,,본부장확인(0721),
사슴의풀밭,사슴의 풀밭,,본부장확인(0721),
사슴의풀밭,사슴의풀밭,,본부장확인(0721),
사슴의풀밭,썰,,본부장확인(0721),
사슴의풀밭,아이즈,,본부장확인(0721),
사슴의풀밭,클린로즈,,본부장확인(0721),
사슴의풀밭,타오름그믐,,본부장확인(0721),
사슴의풀밭,해오름하루,,본부장확인(0721),
삼양씨앤씨,단글,장르소설,기존(0615),
삼양씨앤씨,드림북스,일반단행본,기존(0615),
삼양씨앤씨,로즈벨벳,장르소설,기존(0615),
삼양씨앤씨,벨노블,장르소설,기존(0615),
삼양씨앤씨,스윗드림,장르소설,기존(0615),
삼양씨앤씨,연담,장르소설,기존(0615),
삼양씨앤씨,피오렛,,본부장확인(0721),
상상출판,상상출판,장르소설,기존(0615),
소미미디어,愛Romance,장르소설,기존(0615),
소미미디어,블랙레코드,장르소설,기존(0615),
소미미디어,블랙레코드 플러스,장르소설,기존(0615),
소미미디어,소미미디어,장르소설,기존(0615),
소미미디어,클릭북스,장르소설,기존(0615),
소미미디어,폭시노블,장르소설,기존(0615),
소이미디어,누디나잇,,본부장확인(0721),
소이미디어,누디나잇 플러스,,본부장확인(0721),
소이미디어,스노우미디어,,본부장확인(0721),
소이미디어,썸데이,,본부장확인(0721),
소이미디어,프리빌리지,,본부장확인(0721),
스마트북스,스마트인,장르소설,기존(0615),
스마트빅,도서출판쉼표,장르소설,기존(0615),
스마트빅,레드립,장르소설,기존(0615),
스마트빅,레이디,장르소설,기존(0615),
스마트빅,레이어드,,본부장확인(0721),
스마트빅,셀레나,,본부장확인(0721),
스마트빅,스마트빅,장르소설,기존(0615),
스마트빅,원타임,장르소설,기존(0615),
스마트빅,일향만리,,본부장확인(0721),
스마트빅,페브,,본부장확인(0721),
스마트빅,페일블루,,본부장확인(0721),
스마트인,스마트주니어,일반단행본,기존(0615),
스토리야,마미,,데이터확정(작품매칭),작가명/변형 → 원작품 출판사
스토리야,스토리야,장르소설,기존(0615),
스토리튠즈,스토리튠즈,장르소설,기존(0615),
스토리펀치,테라스북,장르소설,기존(0615),
스토리펀치,판타지존,장르소설,기존(0615),
스토린랩,LACE,,본부장확인(0721),
스토린랩,Lace,,본부장확인(0721),
스토린랩,NUDI,,본부장확인(0721),
스토린랩,답청(踏靑),,본부장확인(0721),
스토린랩,매드햇,장르소설,기존(0615),
스토린랩,버닝북스,,본부장확인(0721),
스토린랩,브랜디,장르소설,기존(0615),
스토린랩,사이렌,장르소설,기존(0615),
스토린랩,슈미즈,장르소설,기존(0615),
스토린랩,스토린랩,,본부장확인(0721),
스토린랩,시계토끼,장르소설,기존(0615),
스토린랩,심월(心月),장르소설,기존(0615),
스토린랩,앨리스,장르소설,기존(0615),
스토린랩,체셔,장르소설,기존(0615),
스토린랩,하트퀸,장르소설,기존(0615),
스토린랩,화월(花月),,본부장확인(0721),
시간여행,시간여행,장르소설,기존(0615),
시크릿e북,시크릿e북,장르소설,기존(0615),
시크릿하우스,Room13,장르소설,기존(0615),
식스북,식스북,,본부장확인(0721),
신드롬,모던,,본부장확인(0721),
신드롬,신드롬,장르소설,기존(0615),
신드롬,인첸티드,,본부장확인(0721),
씨앤북스,씨앤북스,일반단행본,기존(0615),
씨앤제이,더로맨틱,장르소설,기존(0615),
씨앤제이,어썸S,,본부장확인(0721),
씨에스케이,네이비블루북스,,본부장확인(0721),
씨에스케이,노블크런치,장르소설,기존(0615),
