label_resolved,settle,works,plats
아폴론,4158.0,1,1
사내 결벽주의*세트구매*,4131.0,1,1
흐르는 물에 목을 축인다 2(완결),4100.0,1,1
지금 네 여자랑 있어,4000.0,1,1
계집종은 도망친다*세트구매*,3978.0,1,1
달라진 건 없지만 3(완결),3900.0,1,1
더티 클래스*세트구매*,3825.0,1,1
세러피스트 2(완결),3800.0,1,1
마지막 로미오 2,3800.0,1,1
역전의 순간,3800.0,1,1
9791172584993,3780.0,1,1
너무 밝히는 엄마들,3694.0,1,1
지배 욕구 2(완결),3690.0,1,1
다크 프린스 1,3620.0,2,1
아무것도 아닌 네가 2(완결),3600.0,1,1
재벌 사위 말고 재벌 하겠습니다 4,3600.0,2,1
검신광룡 8(완결),3600.0,2,1
재벌 사위 말고 재벌 하겠습니다 6,3600.0,2,1
재벌 매니저는 조용히 살고 싶다 5,3600.0,2,1
검신광룡 6,3600.0,2,1
재벌 매니저는 조용히 살고 싶다 4,3600.0,2,1
검신광룡 7,3600.0,2,1
재벌 사위 말고 재벌 하겠습니다 7,3600.0,2,1
전소 1,3600.0,1,1
재벌 매니저는 조용히 살고 싶다 3,3600.0,2,1
전소 2,3600.0,1,1
용을 삼킨 검 8,3600.0,2,1
용을 삼킨 검 2,3600.0,2,1
용을 삼킨 검 11,3600.0,2,1
[BL] 마음길 안내자 2,3500.0,1,1
하룻밤만 쓰나요? 1,3500.0,1,1
빌어먹을 짓 1,3500.0,1,1
하룻밤만 쓰나요? 2,3500.0,1,1
하룻밤만 쓰나요? 3(완결),3500.0,1,1
원수를 탐하다 2(완결),3500.0,1,1
빌어먹을 짓 2,3500.0,1,1
[BL] 마음길 안내자 1,3500.0,1,1
마주보고 강제로,3500.0,1,1
[BL] 마음길 안내자 3(완결),3500.0,1,1
빌어먹을 짓 3(완결),3500.0,1,1
비서 집착 1,3400.0,1,1
비밀이 내게 걸어오면 1,3400.0,1,1
비밀이 내게 걸어오면 2,3400.0,1,1
비밀이 내게 걸어오면 3(완결),3400.0,1,1
충격실화 아내의 난교,3400.0,1,1
밤의 끝에서 1,3300.0,1,1
낯선 재회 1,3230.0,1,1
낯선 재회 2(완결),3230.0,1,1
화선무적 1,3200.0,1,1
용제검전 3,3200.0,1,1
용제검전 4,3200.0,1,1
고결한 동맹 3(완결),3200.0,1,1
친구오빠의 습격,3200.0,1,1
화선무적 2,3200.0,1,1
첫 마음 (특별외전),3125.0,2,1
역전의 순간*세트구매*,3024.0,1,1
닿지 못한 사이 1,3000.0,1,1
여제자 알몸체벌,3000.0,1,1
"너를, 안아 1",3000.0,1,1
내 눈에만 아공간이 보여 3,3000.0,1,1
야한 짓은 나하고만,3000.0,1,1
내 눈에만 아공간이 보여 2,3000.0,1,1
닿지 못한 사이 2(완결),3000.0,1,1
"너를, 안아 2(완결)",3000.0,1,1
내 눈에만 아공간이 보여 6,3000.0,1,1
내 눈에만 아공간이 보여 5,3000.0,1,1
멈출 수 없는 1,3000.0,1,1
키스로 봉인 해제,3000.0,1,1
희로 1,3000.0,1,1
희로 2,3000.0,1,1
희로 3,3000.0,1,1
희로 4(완결),3000.0,1,1
다정 중독 3(완결),2975.0,1,1
함부로 탐하다,2975.0,1,1
문과라도 안 죄송한 이세계로 감 9,2975.0,1,1
문과라도 안 죄송한 이세계로 감 8,2975.0,1,1
문과라도 안 죄송한 이세계로 감 7,2975.0,1,1
완벽한 나의 오메가 2(완결),2975.0,1,1
환락오피스텔,2975.0,1,1
완벽한 청혼 1,2890.0,1,1
완벽한 청혼 3(완결),2890.0,1,1
엄마를 사랑한 아저씨,2850.0,2,1
이혼 아내 [외전],2840.0,2,1
차 비서가 탐나면 1,2805.0,1,1
