유형,label_resolved,출판사(입력),settle,works,plats,유통사(정산액순),대표원본파일
검토대상,플로라,이플북스,6300,1,0,원스토리 [1곳],원스토리 26년 2월.xlsx
검토대상,읽을레오,읽을레오,282259,49,0,교보문고·원스토리·북큐브·애니툰·로망띠끄(단행본) 외3곳 [8곳],교보문고 2월.xlsx
검토대상,잉크어스,잉크어스,11760,3,0,로망띠끄(단행본)·피우리 [2곳],로망띠끄 4월_전자책.xls
단독출판사,JK미디어,작가컴퍼니,5594737,12,0,무툰·미소설·원스토리·애니툰·판무림 외3곳 [8곳],무툰 [정산]스토린랩__작품내역_[2026-04-01_2026-04-30].xls
검토대상,블랙로즈,작가컴퍼니,430479,33,0,애니툰·로망띠끄(단행본)·피우리·신영미디어·블라이스 외3곳 [8곳],애니툰 2026년 04월 정산 내역_storinlab.xlsx
검토대상,작가컴퍼니,작가컴퍼니,549668,20,0,무툰·미소설·판무림 [3곳],무툰 26년 3월.xls
단독출판사,정씨책방,정씨책방,7700,2,0,예스24·밀리의서재 [2곳],예스24 1월.xls
단독출판사,조은세상,조은세상,4234219,61,0,원스토리·무툰·판무림·하이북·미소설 외3곳 [8곳],원스토어 1월 정산내역_20260617_142054.xlsx
검토대상,주은출판사,주은,3536815,78,0,모픽·원스토리·무툰·하이북·미소설 외3곳 [8곳],모픽_작품별_정산_202601.xlsx
검토대상,밤새던,지심미디어,2139285,12,0,원스토리·예스24·카카오페이지·신영미디어·로망띠끄(단행본) 외12곳 [17곳],원스토리 26년 3월.xlsx
검토대상,빛나던,지심미디어,15688,3,0,원스토리·피우리·카카오페이지·로망띠끄(단행본)·미스터블루 [5곳],피우리_정산_202602.xlsx
검토대상,만일야화B,채음,5733,1,0,원스토리 [1곳],원스토리 26년 2월.xlsx
검토대상,만일야화R,채음,2520,1,0,원스토리 [1곳],원스토리 26년 2월.xlsx
검토대상,채음,채음,185066,9,0,블라이스·원스토리·로망띠끄(연재)·애니툰·큐툰 외3곳 [8곳],블라이스 1월.xls
검토대상,첫문장,첫문장,193683,90,0,원스토리·애니툰·신영미디어·미소설·로망띠끄(단행본) 외2곳 [7곳],원스토리 26년 3월.xlsx
검토대상,누보로망,청어람,2324427,138,0,모픽·원스토리·애니툰·하이북·무툰 외3곳 [8곳],모픽_작품별_정산_202601.xlsx
검토대상,청어람,청어람,8897679,123,0,무툰·모픽·판무림·피우리·애니툰 [5곳],무툰 26년 2월.xls
검토대상,청어람출판사,청어람,25200,19,0,판무림·피우리 [2곳],피우리_정산_202604.xlsx
검토대상,칠월토끼,칠월토끼,7575,1,0,리디·알라딘·교보문고·피우리·원스토리 외2곳 [7곳],리디북스 26년 4월.zip
단독출판사,캔미디어,캔미디어,24626,2,0,무툰·원스토리·하이북·애니툰·미스터블루 [5곳],무툰 26년 2월.xls
검토대상,YAMANCE,케이너스랩,24220,3,0,북큐브 [1곳],북큐브 상세매출 2026-3~2026-3.xlsx
검토대상,야맨스,케이너스랩,453845,45,0,원스토리·판무림·알라딘·미소설·노벨피아 외8곳 [13곳],원스토어 4월 정산내역_20260617_142003.xlsx
