출판사명,레이블명,분야
영상노트,피아체,장르소설
영상출판미디어,노블엔진,장르소설
영상출판미디어,라이트노벨,
예원북스,LINE,장르소설
예원북스,메르헨 코믹스,만화
예원북스,메르헨노블,장르소설
예원북스,메르헨코믹스,만화
예원북스,아인(AIN),장르소설
오늘은북스,오늘은북스,
오쉬컴퍼니,오쉬컴퍼니,
오쉬컴퍼니,팀오쉬,장르소설
와이엠북스,뉴콕,장르소설
와이엠북스,와이엠북스,
와이엠북스,은밀한상상,
와이엠북스,콕테일,
와이엠북스,티파티,장르소설
웅진씽크빅,ARC,장르소설
웅진씽크빅,달밤,
웅진씽크빅,사막여우,
웅진씽크빅,야간비행,
위북,위북,일반단행본
위북(WeBook),위북(WeBook),일반단행본
위브랩,블랙릴리,
위즈덤커넥트,아이보리잉크,
위즈덤커넥트,애쉬그레이,장르소설
위즈덤커넥트,위즈덤커넥트,일반단행본
위즈덤커넥트,젤라빈,
위즈덤커넥트,젤리빈,장르소설
위즈덤하우스,위즈덤하우스,장르소설
위즈덤하우스,인앤아웃,장르소설
위즈덤하우스,잇다,장르소설
위즈덤하우스,틴케이스,장르소설
유피미디어,책읽는여우,일반단행본
율리시즈,민들레북,
율리시즈,율리시즈,일반단행본
이스토리아,이스토리아,
이야기들,레이디가넷,장르소설
이야기들,비터애플,장르소설
이야기들,이야기 들,장르소설
이플북스,배파,
이플북스,에오스,
이플북스,오드캣,
이플북스,오드캣미디어,
이플북스,플로라,
인디페이퍼,인디페이퍼,장르소설
인타임,인타임,장르소설
읽을레오,읽을레오,
잉크어스,잉크어스,
작가정신,작가정신,만화
작가컴퍼니,JC미디어,장르소설
작가컴퍼니,JK미디어,장르소설
작가컴퍼니,로제토,장르소설
작가컴퍼니,블랙로즈,
작가컴퍼니,작가컴퍼니,
작은우주,북아지트,일반단행본
정씨책방,리플레이,일반단행본
정씨책방,정씨책방,오디오북
정씨책방,책비,오디오북
조은세상,조은세상,장르소설
주은,주은출판사,
주은출판사,주은,장르소설
지심미디어,밤새던,
지심미디어,빛나던,
채음,만일야화B,
채음,만일야화R,
채음,채음,
책들의정원,부커,일반단행본
책들의정원,책들의 정원,일반단행본
책들의정원,책들의정원,일반단행본
책들의정원,페이퍼버드,일반단행본
책들의정원,피오르드,일반단행본
첫문장,첫문장,
청어람,누보로망,
청어람,청어람,
청어람,청어람출판사,
칠월토끼,칠월토끼,
캔미디어,CANMEDIA,장르소설
캔미디어,캔미디어,장르소설
케이너스랩,YAMANCE,
케이너스랩,블랙북,장르소설
케이너스랩,야맨스,
케이너스랩,케이너스랩,장르소설
코핀커뮤니케이션즈,델피뉴,장르소설
코핀커뮤니케이션즈,코핀 커뮤니케이션즈,장르소설
코핀커뮤니케이션즈,크로커스,장르소설
코핀커뮤니케이션즈,튜베로사,장르소설
코핀커뮤니케이션즈,페로체,장르소설
키다리스튜디오,styleB,장르소설
키다리스튜디오,포텐,장르소설
키다리스튜디오,프로무림,장르소설
테라핀,이지콘텐츠,
테라핀,일랑,
테라핀,코핀북스,
토네이도,심야책방,일반단행본
툰플러스,툰플러스,장르소설
팀씨에스피에스피,하이북,장르소설
파란미디어,새파란상상,
파란미디어,파란,
파란미디어,파란미디어,
파란미디어,파란썸,
패러그래프,패러그래프,
페퍼민트,딜(Dill),장르소설
페퍼민트,민트BL,장르소설
